Year,Team,Players,Position,BaseSalary,BaseNum,GK_Score,D_tackles_won_pct,D_interceptions,D_clearances,D_pressure_regain_pct,M_passes,M_passes_pct,F_goals,F_shots_on_target_pct
2019,crystal Palace,Jordan Ayew,F,1690000,1.69,,0.537037037,14,20,21.5,838,81.9,9,42.9
2019,crystal Palace,Martin Kelly,D,1300000,1.3,,0.75,10,102,34.8,669,73.7,0,0
2019,crystal Palace,Victor Camarasa,M,0,0,0,0,0,0,0,0,0,0,0
2019,crystal Palace,Stephen Henderson,GK,0,0,0,0,0,0,0,0,0,0,0
2019,crystal Palace,Jaroslaw Jach,D,0,0,0,0,0,0,0,0,0,0,0
2019,crystal Palace,Vicente Guaita,GK,3120000,3.12,0.970479705,0,0,0,0,0,0,0,0
2019,everton Fc,Bernard Anicio Caldeira Duarte,M,6240000,6.24,,0,0,0,0,573,74.3,3,33.3
2019,everton Fc,Yerry Mina,D,6240000,6.24,,0.465116279,15,178,28.8,1251,85.5,2,33.3
2019,everton Fc,Andre Gomes,M,5835000,5.835,,0.75,5,10,25.1,859,83.7,0,0
2019,everton Fc,Morgan Schneiderlin,M,5200000,5.2,,0.59375,12,24,25.2,567,87.1,0,0
2019,everton Fc,Gylfi Sigurdsson,M,5200000,5.2,,0.75,24,16,25.3,1109,78.2,2,26.7
2019,everton Fc,Theo Walcott,F,5200000,5.2,,0.470588235,11,5,23.8,405,65.7,2,35.7
2019,everton Fc,Richarlison de Andrade,F,4680000,4.68,,0,0,0,0,823,66,13,34.1
2019,everton Fc,Lucas Digne,D,4680000,4.68,,0.448275862,24,145,26.9,1946,69.5,0,17.2
2019,everton Fc,Fabian Delph,M,4160000,4.16,,0.379310345,13,19,29.1,778,86.9,0,0
2019,everton Fc,Seamus Coleman,D,3640000,3.64,,0,0,0,0,1058,76.8,0,0
2019,everton Fc,Leighton Baines,D,3380000,3.38,,0.6,2,12,27.5,209,80.4,0,0
2019,everton Fc,Jean-Philippe Gbamin,M,3380000,3.38,,0,0,0,0,0,0,0,0
2019,everton Fc,Michael Keane,D,3120000,3.12,,0.634146341,24,208,34.7,1379,84.6,2,30.8
2019,everton Fc,Cenk Tosun,F,3120000,3.12,,0,0,0,0,0,0,1,27.3
2019,everton Fc,Oumar Niasse,F,2860000,2.86,,0,0,0,0,0,0,0,0
2019,everton Fc,Moise Kean,F,2765000,2.765,,0,0,0,0,142,73.2,2,43.3
2019,everton Fc,Alex Iwobi,F,2600000,2.6,,0.518518519,10,13,26,614,75.2,1,39.1
2019,everton Fc,Cuco Martina,D,1820000,1.82,,0,0,0,0,0,0,0,0
2019,everton Fc,Tom Davies,M,1300000,1.3,,0.5,28,35,23.3,870,78.3,1,29.4
2019,everton Fc,Mason Holgate,D,1300000,1.3,,0.56,28,145,31.8,991,86.3,0,41.7
2019,everton Fc,Dominic Calvert-Lewin,F,1040000,1.04,,0.733333333,7,34,27.6,594,66.2,13,44.6
2019,everton Fc,Beni Baningime,M,416000,0.416,,0,0,0,0,0,0,0,0
2019,everton Fc,Djibril Sidibe,D,0,0,0,0,0,0,0,0,0,0,25
2019,everton Fc,Joao Virginia,GK,0,0,0,0,0,0,0,0,0,0,0
2019,everton Fc,Jordan Pickford,GK,5200000,5.2,0.963837638,0,0,0,0,0,0,0,0
2019,fulham Fc,André Schurrle,F,5408000,5.408,,0,0,0,0,0,0,0,0
2019,fulham Fc,Andre-Frank Zambo Anguissa,M,3484000,3.484,,0,0,0,0,0,0,0,0
