"Year","Team","Players","Position","Base.Salary","Base.Num"
"2017","liverpool Fc","Nathaniel Phillips","D",NA,NA
"2017","manchester City Fc","Sergio Aguero","F","11440000",11.44
"2017","manchester City Fc","Yaya Toure","M","11440000",11.44
"2017","manchester City Fc","Kevin De Bruyne","M","9100000",9.1
"2017","manchester City Fc","David Silva","M","8320000",8.32
"2017","manchester City Fc","Vincent Kompany","D","7800000",7.8
"2017","manchester City Fc","Raheem Sterling","F","7800000",7.8
"2017","manchester City Fc","Ilkay Gundogan","M","7280000",7.28
"2017","manchester City Fc","Nicolas Otamendi","D","6240000",6.24
"2017","manchester City Fc","Bernardo Silva","F","6240000",6.24
"2017","manchester City Fc","Fernandinho Luis Roza","M","5200000",5.2
"2017","manchester City Fc","John Stones","D","5200000",5.2
"2017","manchester City Fc","Kyle Walker","D","5200000",5.2
"2017","manchester City Fc","Benjamin Mendy","D","4680000",4.68
"2017","manchester City Fc","Leroy Sane","F","4680000",4.68
"2017","manchester City Fc","Claudio Bravo","GK","4160000",4.16
"2017","manchester City Fc","Danilo Luiz da Silva","D","4160000",4.16
"2017","manchester City Fc","Fabian Delph","M","4160000",4.16
"2017","manchester City Fc","Gabriel Jesus","F","3900000",3.9
"2017","manchester City Fc","Ederson Moraes","GK","3380000",3.38
"2017","manchester City Fc","Aymeric Laporte","D","1690000",1.69
"2017","manchester City Fc","Tosin Adarabioyo","D","1560000",1.56
"2017","manchester City Fc","Oleksandr Zinchenko","M","1040000",1.04
"2017","manchester City Fc","Jack Harrison","F","780000",0.78
"2017","manchester City Fc","Phil Foden","M","624000",0.624
"2017","manchester City Fc","Brahim Diaz","M","416000",0.416
"2017","manchester United Fc","Paul Pogba","M","15080000",15.08
"2017","manchester United Fc","David De Gea","GK","10400000",10.4
"2017","manchester United Fc","Romelu Lukaku","F","9360000",9.36
"2017","manchester United Fc","Alexis Sanchez","F","9100000",9.1
"2017","manchester United Fc","Juan Mata","M","8320000",8.32
"2017","manchester United Fc","Victor Lindelof","D","6240000",6.24
"2017","manchester United Fc","Nemanja Matic","M","6240000",6.24
"2017","manchester United Fc","Ashley Young","M","6240000",6.24
"2017","manchester United Fc","Ander Herrera","M","5980000",5.98
"2017","manchester United Fc","Anthony Martial","F","5720000",5.72
"2017","manchester United Fc","Marcos Rojo","D","5720000",5.72
"2017","manchester United Fc","Luke Shaw","D","5720000",5.72
"2017","manchester United Fc","Marouane Fellaini","M","4680000",4.68
"2017","manchester United Fc","Antonio Valencia","D","4420000",4.42
"2017","manchester United Fc","Eric Bailly","D","4160000",4.16
"2017","manchester United Fc","Michael Carrick","M","4160000",4.16
"2017","manchester United Fc","Daley Blind","D","3900000",3.9
"2017","manchester United Fc","Phil Jones","D","3900000",3.9
"2017","manchester United Fc","Jesse Lingard","F","3900000",3.9
"2017","manchester United Fc","Sergio Romero","GK","3640000",3.64
"2017","manchester United Fc","Chris Smalling","D","3640000",3.64
"2017","manchester United Fc","Matteo Darmian","D","2340000",2.34
"2017","manchester United Fc","Marcus Rashford","F","1040000",1.04
"2017","manchester United Fc","Joel Castro Pereira","GK","780000",0.78
"2017","manchester United Fc","Cameron Borthwick-Jackson","D","520000",0.52
"2017","manchester United Fc","Scott McTominay","M","520000",0.52
"2017","newcastle United Fc","Islam Slimani","F","4160000",4.16
"2017","newcastle United Fc","Jonjo Shelvey","M","3640000",3.64
"2017","newcastle United Fc","Mohamed Diame","M","2340000",2.34
"2017","newcastle United Fc","Ayoze Perez","F","2340000",2.34
"2017","newcastle United Fc","Matt Ritchie","M","2340000",2.34
"2017","newcastle United Fc","Dwight Gayle","F","2080000",2.08
"2017","newcastle United Fc","Jamaal Lascelles","D","2080000",2.08
"2017","newcastle United Fc","Joselu Mato","F","2080000",2.08
"2017","newcastle United Fc","Florian Lejeune","D","1976000",1.976
"2017","newcastle United Fc","Ciaran Clark","D","1820000",1.82
"2017","newcastle United Fc","Jesus Gamez","D","1820000",1.82
"2017","newcastle United Fc","Javier Manquillo","D","1820000",1.82
"2017","newcastle United Fc","Chancel Mbemba","D","1820000",1.82
"2017","newcastle United Fc","Mikel Merino","M","1820000",1.82
"2017","newcastle United Fc","Henri Saivet","M","1820000",1.82
"2017","newcastle United Fc","Christian Atsu","F","1560000",1.56
"2017","newcastle United Fc","Deandre Yedlin","D","1560000",1.56
"2017","newcastle United Fc","Paul Dummett","D","1456000",1.456
"2017","newcastle United Fc","Karl Darlow","GK","1300000",1.3
"2017","newcastle United Fc","Rob Elliot","GK","1300000",1.3
"2017","newcastle United Fc","Robert Kenedy","M","1300000",1.3
"2017","newcastle United Fc","Jacob Murphy","F","1300000",1.3
"2017","newcastle United Fc","Isaac Hayden","M","1144000",1.144
"2017","newcastle United Fc","Massadio Haidara","D","1040000",1.04
"2017","newcastle United Fc","Ivan Toney","F","260000",0.26
"2017","sheffield United Fc","Brendan Galloway","D","1196000",1.196
"2017","sheffield United Fc","Richard Stearman","D","780000",0.78
"2017","sheffield United Fc","Leon Clarke","F","468000",0.468
"2017","sheffield United Fc","Jamal Blackman","GK","416000",0.416
"2017","sheffield United Fc","Mark Duffy","M","416000",0.416
"2017","sheffield United Fc","John Fleck","M","416000",0.416
"2017","sheffield United Fc","Kieron Freeman","D","234000",0.234
"2017","sheffield United Fc","George Baldock","D","208000",0.208
"2017","sheffield United Fc","John Lundstrom","M","208000",0.208
"2017","sheffield United Fc","Chris Basham","D",NA,NA
"2017","sheffield United Fc","Samir Carruthers","M",NA,NA
"2017","sheffield United Fc","Paul Coutts","M",NA,NA
"2017","sheffield United Fc","Jake Eastwood","GK",NA,NA
"2017","sheffield United Fc","Ched Evans","F",NA,NA
"2017","sheffield United Fc","Ben Heneghan","D",NA,NA
"2017","sheffield United Fc","Ricky Holmes","F",NA,NA
"2017","sheffield United Fc","Daniel Lafferty","D",NA,NA
"2017","sheffield United Fc","Caolan Lavery","F",NA,NA
