Year,Team,Players,Position,Base.Salary,Base.Num
2019,liverpool Fc,Takumi Minamino,F,3900000,3.9
2019,liverpool Fc,Nathaniel Clyne,D,3640000,3.64
2019,liverpool Fc,Nathaniel Phillips,D,3360000,3.36
2019,liverpool Fc,Divock Origi,F,3120000,3.12
2019,liverpool Fc,Andrew Robertson,D,2600000,2.6
2019,liverpool Fc,Loris Karius,GK,1300000,1.3
2019,liverpool Fc,Rhian Brewster,F,520000,0.52
2019,liverpool Fc,Caoimhin Kelleher,GK,0,0
2019,manchester City Fc,Ederson Moraes,GK,"3,380,000",3.38
2019,manchester City Fc,Kevin De Bruyne,M,18200000,18.2
2019,manchester City Fc,Raheem Sterling,M,15600000,15.6
2019,manchester City Fc,Sergio Aguero,F,11967000,11.967
2019,manchester City Fc,David Silva,M,11440000,11.44
2019,manchester City Fc,Fernandinho Luis Roza,M,7800000,7.8
2019,manchester City Fc,Bernardo Silva,M,7800000,7.8
2019,manchester City Fc,Ilkay Gundogan,M,7280000,7.28
2019,manchester City Fc,Rodrigo Hernández Cascante,M,6300000,6.3
2019,manchester City Fc,Aymeric Laporte,D,6240000,6.24
2019,manchester City Fc,Riyad Mahrez,F,6240000,6.24
2019,manchester City Fc,Nicolas Otamendi,D,6240000,6.24
2019,manchester City Fc,Kyle Walker,D,5720000,5.72
2019,manchester City Fc,John Stones,D,5200000,5.2
2019,manchester City Fc,Gabriel Jesus,F,4680000,4.68
2019,manchester City Fc,Benjamin Mendy,D,4680000,4.68
2019,manchester City Fc,Leroy Sane,F,4680000,4.68
2019,manchester City Fc,Claudio Bravo,GK,4160000,4.16
2019,manchester City Fc,Joao Cancelo,D,4160000,4.16
2019,manchester City Fc,Marlos Moreno,F,2340000,2.34
2019,manchester City Fc,Oleksandr Zinchenko,M,1040000,1.04
2019,manchester City Fc,Eric Garcia,D,750000,0.75
2019,manchester City Fc,Phil Foden,M,624000,0.624
2019,manchester City Fc,Scott Carson,GK,0,0
2019,manchester City Fc,Jose Angel Tasende,D,0,0
2019,manchester United Fc,David De Gea,GK,"19,500,000",19.5
2019,manchester United Fc,Paul Pogba,M,15080000,15.08
2019,manchester United Fc,Anthony Martial,F,13000000,13
2019,manchester United Fc,Marcus Rashford,F,10400000,10.4
2019,manchester United Fc,Harry Maguire,D,9875000,9.875
2019,manchester United Fc,Bruno Fernandes,M,9360000,9.36
2019,manchester United Fc,Juan Mata,M,8320000,8.32
2019,manchester United Fc,Luke Shaw,D,7800000,7.8
2019,manchester United Fc,Frederico de Paula Santos,M,6240000,6.24
2019,manchester United Fc,Victor Lindelof,D,6240000,6.24
2019,manchester United Fc,Nemanja Matic,M,6240000,6.24
2019,manchester United Fc,Odion Ighalo,F,5240000,5.24
2019,manchester United Fc,Aaron Wan-Bissaka,D,4680000,4.68
2019,manchester United Fc,Eric Bailly,D,4160000,4.16
2019,manchester United Fc,Marcos Rojo,D,4160000,4.16
2019,manchester United Fc,Phil Jones,D,3900000,3.9
2019,manchester United Fc,Jesse Lingard,F,3900000,3.9
2019,manchester United Fc,Sergio Romero,GK,3640000,3.64
2019,manchester United Fc,Axel Tuanzebe,D,2600000,2.6
2019,manchester United Fc,Matteo Darmian,D,2340000,2.34
2019,manchester United Fc,Daniel James,F,2340000,2.34
2019,manchester United Fc,Mason Greenwood,F,1820000,1.82
2019,manchester United Fc,Lee Grant,GK,1560000,1.56
2019,manchester United Fc,Andreas Pereira,M,1560000,1.56
2019,manchester United Fc,Diogo Dalot,M,1300000,1.3
2019,manchester United Fc,Tahith Chong,F,1040000,1.04
2019,manchester United Fc,Timothy Fosu-Mensah,D,780000,0.78
2019,manchester United Fc,Scott McTominay,M,520000,0.52
2019,newcastle United Fc,Joelinton Cassio Apolinário de Lira,F,4500000,4.5
2019,newcastle United Fc,Andy Carroll,F,3900000,3.9
2019,newcastle United Fc,Jonjo Shelvey,M,3640000,3.64
2019,newcastle United Fc,Emil Krafth,D,3000000,3
2019,newcastle United Fc,Yoshinori Muto,F,2808000,2.808
2019,newcastle United Fc,Matt Ritchie,M,2340000,2.34
2019,newcastle United Fc,Federico Fernandez,D,2236000,2.236
2019,newcastle United Fc,Miguel Almiron,M,2201000,2.201
2019,newcastle United Fc,Dwight Gayle,F,2080000,2.08
2019,newcastle United Fc,Jamaal Lascelles,D,2080000,2.08
2019,newcastle United Fc,Fabian Schar,D,2080000,2.08
2019,newcastle United Fc,Ki Sung-yueng,M,2080000,2.08
2019,newcastle United Fc,Martin Dubravka,GK,1976000,1.976
2019,newcastle United Fc,Florian Lejeune,D,1976000,1.976
2019,newcastle United Fc,Ciaran Clark,D,1820000,1.82
2019,newcastle United Fc,Paul Dummett,D,1820000,1.82
2019,newcastle United Fc,Javier Manquillo,D,1820000,1.82
2019,newcastle United Fc,Christian Atsu,F,1560000,1.56
2019,newcastle United Fc,Deandre Yedlin,D,1560000,1.56
2019,newcastle United Fc,Karl Darlow,GK,1300000,1.3
2019,newcastle United Fc,Rob Elliot,GK,1300000,1.3
2019,newcastle United Fc,Isaac Hayden,M,1144000,1.144
2019,newcastle United Fc,Jamie Sterry,D,104000,0.104
2019,newcastle United Fc,Sean Longstaff,M,36000,0.036
2019,newcastle United Fc,Jetro Willems,D,0,0
2019,sheffield United Fc,Dean Henderson,GK,"520,000",0.52
2019,sheffield United Fc,Phil Jagielka,D,2600000,2.6
2019,sheffield United Fc,Sander Berge,M,1700000,1.7
2019,sheffield United Fc,Muhamed Besic,M,1560000,1.56
2019,sheffield United Fc,Lys Mousset,F,1300000,1.3
2019,sheffield United Fc,Oliver McBurnie,F,1040000,1.04
2019,sheffield United Fc,Michael Verrips,GK,1040000,1.04
2019,sheffield United Fc,Oliver Norwood,M,780000,0.78
2019,sheffield United Fc,Richard Stearman,D,780000,0.78
2019,sheffield United Fc,Billy Sharp,F,624000,0.624
2019,sheffield United Fc,Jack Robinson,D,572000,0.572
2019,sheffield United Fc,Luke Freeman,M,520000,0.52
2019,sheffield United Fc,Jack O'Connell,D,520000,0.52
2019,sheffield United Fc,Leon Clarke,F,468000,0.468
2019,sheffield United Fc,John Fleck,M,416000,0.416
2019,sheffield United Fc,John Egan,D,390000,0.39
2019,sheffield United Fc,Simon Moore,GK,260000,0.26
2019,sheffield United Fc,Callum Robinson,F,260000,0.26
2019,sheffield United Fc,Kieron Freeman,D,234000,0.234
2019,sheffield United Fc,George Baldock,D,208000,0.208
2019,sheffield United Fc,John Lundstrom,M,208000,0.208
2019,sheffield United Fc,Ben Osborn,M,208000,0.208
2019,sheffield United Fc,Enda Stevens,D,208000,0.208
2019,sheffield United Fc,Kean Bryan,D,156000,0.156
2019,sheffield United Fc,Ricky Holmes,F,0,0
2019,sheffield United Fc,Jack Rodwell,M,0,0
2019,southampton Fc,Alex McCarthy,GK,"2,600,000",2.6
2019,southampton Fc,Danny Ings,F,3900000,3.9
2019,southampton Fc,Ryan Bertrand,D,3640000,3.64
2019,southampton Fc,Sofiane Boufal,M,3380000,3.38
2019,southampton Fc,Oriol Romeu,M,3380000,3.38
2019,southampton Fc,Cedric Soares,D,3380000,3.38
2019,southampton Fc,Shane Long,F,3120000,3.12
2019,southampton Fc,Nathan Redmond,M,3120000,3.12
2019,southampton Fc,Jannik Vestergaard,D,3120000,3.12
2019,southampton Fc,Moussa Djenepo,F,2860000,2.86
2019,southampton Fc,Stuart Armstrong,M,2600000,2.6
2019,southampton Fc,Pierre-Emile Hojbjerg,M,2600000,2.6
2019,southampton Fc,Maya Yoshida,D,2600000,2.6
2019,southampton Fc,Jack Stephens,D,2496000,2.496
2019,southampton Fc,James Ward-Prowse,M,2340000,2.34
2019,southampton Fc,Che Adams,F,1560000,1.56
2019,southampton Fc,Jan Bednarek,D,1040000,1.04
2019,southampton Fc,Sam McQueen,M,936000,0.936
2019,southampton Fc,Michael Obafemi,F,600000,0.6
2019,southampton Fc,Yan Valery,D,104000,0.104
2019,southampton Fc,Kevin Danso,D,0,0
2019,southampton Fc,Daniel N'Lundulu,F,0,0
2019,southampton Fc,Angus Gunn,GK,"2,080,000",2.08
2019,tottenham Hotspur Fc,Hugo Lloris,GK,"5,200,000",5.2
2019,tottenham Hotspur Fc,Paulo Gazzaniga,GK,"1,040,000",1.04
2019,tottenham Hotspur Fc,Harry Kane,F,10400000,10.4
2019,tottenham Hotspur Fc,Tanguy Ndombele,M,10400000,10.4
2019,tottenham Hotspur Fc,Heung-Min Son,F,7280000,7.28
2019,tottenham Hotspur Fc,Dele Alli,M,5200000,5.2
2019,tottenham Hotspur Fc,Jan Vertonghen,D,5200000,5.2
2019,tottenham Hotspur Fc,Toby Alderweireld,D,4160000,4.16
2019,tottenham Hotspur Fc,Erik Lamela,M,4160000,4.16
2019,tottenham Hotspur Fc,Lucas Moura,M,4160000,4.16
2019,tottenham Hotspur Fc,Moussa Sissoko,M,4160000,4.16
2019,tottenham Hotspur Fc,Steven Bergwijn,F,3800000,3.8
2019,tottenham Hotspur Fc,Serge Aurier,D,3640000,3.64
2019,tottenham Hotspur Fc,Giovani Lo Celso,M,3640000,3.64
2019,tottenham Hotspur Fc,Davinson Sanchez,D,3380000,3.38
2019,tottenham Hotspur Fc,Ben Davies,D,3120000,3.12
2019,tottenham Hotspur Fc,Eric Dier,M,3120000,3.12
2019,tottenham Hotspur Fc,Danny Rose,D,3120000,3.12
2019,tottenham Hotspur Fc,Harry Winks,M,2600000,2.6
2019,tottenham Hotspur Fc,Juan Foyth,D,1118000,1.118
2019,tottenham Hotspur Fc,Kyle Walker-Peters,D,1040000,1.04
2019,tottenham Hotspur Fc,Alfie Whiteman,GK,200000,0.2
2019,tottenham Hotspur Fc,Ryan Sessegnon,M,0,0
2019,tottenham Hotspur Fc,Japhet Tanganga,D,0,0
2019,tottenham Hotspur Fc,Michel Vorm,GK,0,0
2019,west Bromwich Albion Fc,Charlie Austin,F,3640000,3.64
2019,west Bromwich Albion Fc,Nacer Chadli,M,3120000,3.12
2019,west Bromwich Albion Fc,Kieran Gibbs,D,2860000,2.86
2019,west Bromwich Albion Fc,Jake Livermore,M,2392000,2.392
2019,west Bromwich Albion Fc,Allan-Romeo Nyom,D,1820000,1.82
2019,west Bromwich Albion Fc,Sam Johnstone,GK,1690000,1.69
2019,west Bromwich Albion Fc,Yuning Zhang,F,1612000,1.612
2019,west Bromwich Albion Fc,Oliver Burke,F,1560000,1.56
2019,west Bromwich Albion Fc,Hal Robson-Kanu,F,1560000,1.56
