,year,player,squad,position,age,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
223,2019,Jorginho,Chelsea,MF,27,31,27,"2,379",4,2,3,3,10,0,0.15,0.23,0.04,0.11
224,2019,Jota,Aston Villa,"FW,MF",28,10,4,335,0,1,0,0,0,0,0.00,0.27,0.00,0.27
225,2019,Diogo Jota,Wolves,"FW,MF",22,34,27,"2,284",7,1,0,0,4,0,0.28,0.32,0.28,0.32
226,2019,James Justin,Leicester City,DF,21,13,11,"1,012",0,1,0,0,1,0,0.00,0.09,0.00,0.09
227,2019,Christian Kabasele,Watford,DF,28,27,26,"2,250",0,2,0,0,3,2,0.00,0.08,0.00,0.08
228,2019,Harry Kane,Tottenham,FW,26,29,29,"2,587",18,2,2,2,4,0,0.63,0.70,0.56,0.63
229,2019,N'Golo Kanté,Chelsea,MF,28,22,20,"1,732",3,0,0,0,4,0,0.16,0.16,0.16,0.16
230,2019,Moise Kean,Everton,FW,19,29,6,852,2,2,0,0,1,0,0.21,0.42,0.21,0.42
231,2019,Michael Keane,Everton,DF,26,31,28,"2,559",2,0,0,0,3,0,0.07,0.07,0.07,0.07
232,2019,Naby Keïta,Liverpool,MF,24,18,9,815,2,3,0,0,1,0,0.22,0.55,0.22,0.55
233,2019,Lloyd Kelly,Bournemouth,DF,20,8,7,639,0,0,0,0,2,0,0.00,0.00,0.00,0.00
234,2019,Martin Kelly,Crystal Palace,DF,29,19,17,"1,549",0,1,0,0,0,0,0.00,0.06,0.00,0.06
235,2019,Max Kilman,Wolves,DF,22,3,2,185,0,0,0,0,0,0,0.00,0.00,0.00,0.00
236,2019,Joshua King,Bournemouth,"FW,MF",27,26,24,"2,011",6,4,3,3,0,0,0.27,0.45,0.13,0.31
237,2019,Timm Klose,Norwich City,DF,31,7,7,585,0,0,0,0,0,0,0.00,0.00,0.00,0.00
238,2019,Jonathan Kodjia,Aston Villa,"FW,MF",29,6,0,117,0,0,0,0,1,0,0.00,0.00,0.00,0.00
239,2019,Sead Kolašinac,Arsenal,DF,26,26,19,"1,701",0,2,0,0,4,0,0.00,0.11,0.00,0.11
240,2019,Ezri Konsa,Aston Villa,DF,21,25,24,"2,039",1,2,0,0,3,0,0.04,0.13,0.04,0.13
241,2019,Cheikhou Kouyaté,Crystal Palace,"MF,DF",29,35,29,"2,528",1,1,0,0,4,0,0.04,0.07,0.04,0.07
242,2019,Mateo Kovačić,Chelsea,MF,25,31,23,"2,073",1,3,0,0,8,0,0.04,0.17,0.04,0.17
243,2019,Emil Krafth,Newcastle Utd,DF,24,17,11,"1,020",0,1,0,0,0,0,0.00,0.09,0.00,0.09
244,2019,Tim Krul,Norwich City,GK,31,36,36,"3,240",0,0,0,0,4,0,0.00,0.00,0.00,0.00
245,2019,Alexandre Lacazette,Arsenal,FW,28,30,22,"1,874",10,4,0,0,8,0,0.48,0.67,0.48,0.67
246,2019,Adam Lallana,Liverpool,"MF,FW",31,15,3,382,1,1,0,0,1,0,0.24,0.47,0.24,0.47
247,2019,Érik Lamela,Tottenham,"MF,FW",27,25,12,"1,215",2,1,0,0,3,0,0.15,0.22,0.15,0.22
248,2019,Tariq Lamptey,Brighton,DF,18,8,7,588,0,1,0,0,2,0,0.00,0.15,0.00,0.15
249,2019,Tariq Lamptey,Chelsea,DF,18,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00
250,2019,Henri Lansbury,Aston Villa,MF,28,10,2,195,0,0,0,0,0,0,0.00,0.00,0.00,0.00
251,2019,Manuel Lanzini,West Ham,"MF,FW",26,24,14,"1,379",0,2,0,0,1,0,0.00,0.13,0.00,0.13
252,2019,Aymeric Laporte,Manchester City,DF,25,15,14,"1,097",1,0,0,0,1,0,0.08,0.08,0.08,0.08
253,2019,Jamaal Lascelles,Newcastle Utd,DF,25,24,24,"2,076",1,0,0,0,5,0,0.04,0.04,0.04,0.04
254,2019,Valentino Lazaro,Newcastle Utd,"DF,MF",23,13,4,480,1,0,0,0,0,1,0.19,0.19,0.19,0.19
255,2019,Moritz Leitner,Norwich City,MF,26,9,7,685,0,0,0,0,1,0,0.00,0.00,0.00,0.00
256,2019,Florian Lejeune,Newcastle Utd,DF,28,6,4,442,2,0,0,0,0,0,0.41,0.41,0.41,0.41
257,2019,Aaron Lennon,Burnley,MF,32,16,4,496,0,0,0,0,4,0,0.00,0.00,0.00,0.00
258,2019,Bernd Leno,Arsenal,GK,27,30,30,"2,649",0,0,0,0,2,0,0.00,0.00,0.00,0.00
259,2019,Jefferson Lerma,Bournemouth,MF,24,33,31,"2,703",1,2,0,0,13,1,0.03,0.10,0.03,0.10
260,2019,Jamal Lewis,Norwich City,DF,21,28,25,"2,304",1,0,0,0,4,0,0.04,0.04,0.04,0.04
261,2019,Victor Lindelöf,Manchester Utd,DF,25,35,35,"3,092",1,0,0,0,6,0,0.03,0.03,0.03,0.03
262,2019,Jesse Lingard,Manchester Utd,"MF,FW",26,22,9,935,1,0,0,0,3,0,0.10,0.10,0.10,0.10
263,2019,Hugo Lloris,Tottenham,GK,32,21,21,"1,807",0,0,0,0,0,0,0.00,0.00,0.00,0.00
264,2019,Giovani Lo Celso,Tottenham,"MF,FW",23,28,15,"1,492",0,2,0,0,6,0,0.00,0.12,0.00,0.12
265,2019,Jürgen Locadia,Brighton,"MF,FW",25,2,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00
266,2019,Ruben Loftus-Cheek,Chelsea,"MF,FW",23,7,2,208,0,1,0,0,0,0,0.00,0.43,0.00,0.43
267,2019,Kevin Long,Burnley,DF,28,8,6,564,0,0,0,0,0,0,0.00,0.00,0.00,0.00
268,2019,Shane Long,Southampton,FW,32,26,15,"1,395",2,2,0,0,0,0,0.13,0.26,0.13,0.26
269,2019,Matthew Longstaff,Newcastle Utd,MF,19,9,6,575,2,0,0,0,1,0,0.31,0.31,0.31,0.31
270,2019,Sean Longstaff,Newcastle Utd,MF,21,23,14,"1,378",1,1,0,0,2,1,0.07,0.13,0.07,0.13
271,2019,Dejan Lovren,Liverpool,DF,30,10,9,777,0,1,0,0,1,0,0.00,0.12,0.00,0.12
272,2019,Matthew Lowton,Burnley,DF,30,17,17,"1,530",0,1,0,0,2,0,0.00,0.06,0.00,0.06
273,2019,David Luiz,Arsenal,DF,32,33,32,"2,809",2,1,0,0,5,2,0.06,0.10,0.06,0.10
274,2019,Douglas Luiz,Aston Villa,MF,21,36,28,"2,612",3,2,0,0,8,0,0.10,0.17,0.10,0.17
275,2019,John Lundstram,Sheffield Utd,MF,25,34,26,"2,458",5,3,0,0,5,0,0.18,0.29,0.18,0.29
276,2019,Alexis Mac Allister,Brighton,"MF,FW",20,9,4,352,0,0,0,0,0,0,0.00,0.00,0.00,0.00
277,2019,James Maddison,Leicester City,MF,22,31,29,"2,624",6,3,0,0,4,0,0.21,0.31,0.21,0.31
278,2019,Harry Maguire,Manchester Utd,DF,26,38,38,"3,420",1,1,0,0,6,0,0.03,0.05,0.03,0.05
279,2019,Riyad Mahrez,Manchester City,FW,28,33,21,"1,944",11,9,1,1,0,0,0.51,0.93,0.46,0.88
280,2019,Ainsley Maitland-Niles,Arsenal,DF,21,20,15,"1,386",0,2,0,0,6,1,0.00,0.13,0.00,0.13
281,2019,Sadio Mané,Liverpool,FW,27,35,31,"2,747",18,7,0,0,3,0,0.59,0.82,0.59,0.82
282,2019,Javier Manquillo,Newcastle Utd,DF,25,21,18,"1,599",0,1,0,0,5,0,0.00,0.06,0.00,0.06
283,2019,Solly March,Brighton,"DF,FW",25,19,11,"1,143",0,1,0,0,2,0,0.00,0.08,0.00,0.08
284,2019,Pablo Marí,Arsenal,DF,25,2,2,113,0,0,0,0,0,0,0.00,0.00,0.00,0.00
285,2019,Adrian Mariappa,Watford,DF,32,20,15,"1,513",0,0,0,0,6,1,0.00,0.00,0.00,0.00
286,2019,Anthony Martial,Manchester Utd,FW,23,32,31,"2,624",17,6,0,1,1,0,0.58,0.79,0.58,0.79
287,2019,David Martin,West Ham,GK,33,5,4,436,0,0,0,0,1,0,0.00,0.00,0.00,0.00
288,2019,Josh Martin,Norwich City,FW,17,5,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00
289,2019,Martinelli,Arsenal,FW,18,14,6,663,3,0,0,0,1,0,0.41,0.41,0.41,0.41
290,2019,Emiliano Martínez,Arsenal,GK,26,9,8,771,0,0,0,0,2,0,0.00,0.00,0.00,0.00
291,2019,Adam Masina,Watford,DF,25,26,20,"1,821",1,0,0,0,3,0,0.05,0.05,0.05,0.05
292,2019,Arthur Masuaku,West Ham,DF,25,17,10,937,0,1,0,0,6,1,0.00,0.10,0.00,0.10
293,2019,Juan Mata,Manchester Utd,"MF,FW",31,19,8,758,0,2,0,0,1,0,0.00,0.24,0.00,0.24
294,2019,Nemanja Matić,Manchester Utd,MF,30,21,18,"1,581",0,2,0,0,3,0,0.00,0.11,0.00,0.11
295,2019,Joël Matip,Liverpool,DF,27,9,8,703,1,0,0,0,0,0,0.13,0.13,0.13,0.13
296,2019,Neal Maupay,Brighton,FW,22,37,30,"2,766",10,3,1,2,3,0,0.33,0.42,0.29,0.39
297,2019,James McArthur,Crystal Palace,MF,31,37,37,"3,090",0,3,0,0,6,0,0.00,0.09,0.00,0.09
298,2019,Oliver McBurnie,Sheffield Utd,FW,23,36,24,"2,113",6,0,0,0,4,0,0.26,0.26,0.26,0.26
